Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
CWF	F	Z	2022	0000000	20221201	001600	 	0000012800	Y	D	00005
CWF	F	Z	2022	0000000	20221201	155100	 	0000011200	Y	D	00060
CWF	F	Z	2022	0000000	20221201	155100	 	0000011200	Y	D	00060
CWF	F	Z	2022	0000000	20221201	155100	 	0000011200	Y	D	00060
CWF	F	F	2023	0000000	20221201	011800	 	0000007250	Y	D	00030
CWF	F	F	2023	0000000	20221201	011800	 	0000007250	Y	D	00030
FEF	F	J	2023	0000000	20221201	164709	 	0000010100	Y	D	00050
FEF	F	J	2023	0000000	20221201	164923	 	0000010100	Y	D	00020
FEF	F	K	2023	0000000	20221201	164709	 	0000010100	Y	D	00050
FEF	F	K	2023	0000000	20221201	164923	 	0000010100	Y	D	00020
FEF	F	M	2023	0000000	20221201	164709	 	0000010100	Y	D	00050
FEF	F	M	2023	0000000	20221201	164923	 	0000010100	Y	D	00020
FEF	F	N	2023	0000000	20221201	164808	 	0000009920	Y	D	00050
FEF	F	N	2023	0000000	20221201	165039	 	0000009920	Y	D	00020
FEF	F	Q	2023	0000000	20221201	164808	 	0000009920	Y	D	00050
FEF	F	Q	2023	0000000	20221201	165039	 	0000009920	Y	D	00020
FEF	F	U	2023	0000000	20221201	164808	 	0000009920	Y	D	00050
FEF	F	U	2023	0000000	20221201	165039	 	0000009920	Y	D	00020
